block,sample,reps,order,trt,success
C,48,10,82,2,0.3
C,231,3,83,7,0.1
C,16,16,84,1,0.3
C,265,37,85,7,0
C,82,6,86,3,0.2
C,187,35,87,5,0.2
C,83,7,88,3,0.4
C,290,24,89,8,0
C,172,20,90,5,0.1
C,281,15,91,8,0.1
C,173,21,92,5,0.3
C,45,7,93,2,0.3
C,46,8,94,2,0.6
C,221,31,95,6,0
C,55,17,96,2,0.5
C,261,33,97,7,0.1
C,22,22,98,1,0.2
C,21,21,99,1,0.1
C,234,6,100,7,0.1
C,94,18,101,3,0.2
C,213,23,102,6,0
C,249,21,103,7,0
C,119,5,104,4,0
C,258,30,105,7,0
C,86,10,106,3,0.3
C,28,28,107,1,0.1
C,69,31,108,2,0.2
C,10,10,109,1,0.4
C,142,28,110,4,0
C,95,19,111,3,0.1
C,166,14,112,5,0.4
C,302,36,113,8,0
C,98,22,114,3,0.1
C,61,23,115,2,0.4
C,101,25,116,3,0.4
C,29,29,117,1,0.3
C,154,2,118,5,0.3
C,238,10,119,7,0.1
C,134,20,120,4,0
C,67,29,121,2,0.4
C,269,3,122,8,0
C,292,26,123,8,0
C,14,14,124,1,0.4
C,9,9,125,1,0.5
C,195,5,126,6,0
C,167,15,127,5,0.3
C,33,33,128,1,0.1
C,203,13,129,6,0
C,198,8,130,6,0
C,47,9,131,2,0.5
C,123,9,132,4,0
C,180,28,133,5,0.1
C,193,3,134,6,0.1
C,155,3,135,5,0.3
C,263,35,136,7,0
C,106,30,137,3,0.2
C,113,37,138,3,0.2
C,297,31,139,8,0
C,170,18,140,5,0.5
C,189,37,141,5,0.5
C,84,8,142,3,0.1
C,139,25,143,4,0
C,17,17,144,1,0.4
C,97,21,145,3,0.2
C,66,28,146,2,0.4
C,287,21,147,8,0
C,191,1,148,6,0.1
C,178,26,149,5,0.1
C,283,17,150,8,0
C,194,4,151,6,0
C,24,24,152,1,0.3
C,60,22,153,2,0.5
C,274,8,154,8,0
C,208,18,155,6,0
C,181,29,156,5,0.2
C,140,26,157,4,0
C,128,14,158,4,0
C,236,8,159,7,0
C,159,7,160,5,0.2
C,175,23,161,5,0.3
C,228,38,162,6,0
C,143,29,163,4,0
C,1,1,164,1,0.2
C,117,3,165,4,0
C,8,8,166,1,0.2
C,35,35,167,1,0.1
C,206,16,168,6,0
C,165,13,169,5,0.1
C,260,32,170,7,0.1
C,42,4,171,2,0.5
C,192,2,172,6,0
C,267,1,173,8,0
C,103,27,174,3,0.1
C,246,18,175,7,0
C,227,37,176,6,0
C,76,38,177,2,0.3
C,285,19,178,8,0
C,199,9,179,6,0.1
C,280,14,180,8,0
C,111,35,181,3,0.2
C,87,11,182,3,0
C,77,1,183,3,0.2
C,34,34,184,1,0.1
C,27,27,185,1,0.2
C,12,12,186,1,0.2
C,44,6,187,2,0.1
C,15,15,188,1,0.1
C,174,22,189,5,0.3
C,222,32,190,6,0
C,11,11,191,1,0.2
C,204,14,192,6,0
C,264,36,193,7,0
C,171,19,194,5,0.2
C,212,22,195,6,0
C,72,34,196,2,0.4
C,80,4,197,3,0.3
C,190,38,198,5,0.3
C,197,7,199,6,0.2
C,62,24,200,2,0.3
C,277,11,201,8,0
C,225,35,202,6,0
C,248,20,203,7,0.2
C,92,16,204,3,0.2
C,207,17,205,6,0
C,110,34,206,3,0
C,279,13,207,8,0
C,270,4,208,8,0.1
C,158,6,209,5,0.2
C,252,24,210,7,0
C,23,23,211,1,0.3
C,235,7,212,7,0
C,254,26,213,7,0
C,293,27,214,8,0
C,136,22,215,4,0
C,176,24,216,5,0.3
C,251,23,217,7,0
C,240,12,218,7,0
C,215,25,219,6,0
C,132,18,220,4,0
C,162,10,221,5,0.3
C,214,24,222,6,0
C,54,16,223,2,0.4
C,244,16,224,7,0.1
C,201,11,225,6,0.1
C,93,17,226,3,0
C,52,14,227,2,0.1
C,266,38,228,7,0
C,273,7,229,8,0
C,81,5,230,3,0
C,114,38,231,3,0.1
C,37,37,232,1,0.1
C,183,31,233,5,0.3
C,275,9,234,8,0
C,105,29,235,3,0
C,56,18,236,2,0.2
C,19,19,237,1,0.1
C,304,38,238,8,0
C,85,9,239,3,0
C,157,5,240,5,0.3
C,298,32,241,8,0
C,6,6,242,1,0.1
C,284,18,243,8,0
C,36,36,244,1,0.3
C,127,13,245,4,0.1
C,138,24,246,4,0.1
C,30,30,247,1,0.3
C,301,35,248,8,0
C,257,29,249,7,0
C,74,36,250,2,0.5
C,141,27,251,4,0
C,90,14,252,3,0
C,70,32,253,2,0.5
C,126,12,254,4,0
C,68,30,255,2,0.3
C,71,33,256,2,0.2
C,300,34,257,8,0
C,242,14,258,7,0
C,233,5,259,7,0
C,148,34,260,4,0
C,186,34,261,5,0.3
C,224,34,262,6,0.3
C,268,2,263,8,0
C,288,22,264,8,0
C,41,3,265,2,0.2
C,156,4,266,5,0.2
C,168,16,267,5,0.5
C,75,37,268,2,0.4
C,188,36,269,5,0.2
C,112,36,270,3,0.2
C,115,1,271,4,0
C,145,31,272,4,0
C,120,6,273,4,0
C,121,7,274,4,0
C,299,33,275,8,0
C,116,2,276,4,0
C,65,27,277,2,0.2
C,96,20,278,3,0.1
C,104,28,279,3,0.1
C,209,19,280,6,0.1
C,152,38,281,4,0
C,135,21,282,4,0
C,130,16,283,4,0
C,160,8,284,5,0.1
C,241,13,285,7,0.2
C,179,27,286,5,0.3
C,278,12,287,8,0
C,4,4,288,1,0
C,262,34,289,7,0
C,303,37,290,8,0
C,185,33,291,5,0.2
C,137,23,292,4,0.2
C,125,11,293,4,0.1
C,223,33,294,6,0
C,226,36,295,6,0
C,230,2,296,7,0.1
C,50,12,297,2,0.3
C,118,4,298,4,0.1
C,218,28,299,6,0
C,163,11,300,5,0.2
C,26,26,301,1,0.1
C,57,19,302,2,0.2
C,296,30,303,8,0
C,232,4,304,7,0
